,example_id,llama_score,openai_score
0,1a,5,5
1,1a,5,5
2,1a,5,5
3,1a,5,5
4,1b,5,5
5,1b,5,4
6,1b,4,5
7,1b,4,4
8,1c,4,2
9,1c,4,1
10,1c,2,2
11,1c,2,1
12,1d,5,1
13,1d,5,1
14,1d,2,1
15,1d,2,1
16,2a,5,5
17,2a,5,5
18,2a,4,5
19,2a,4,5
20,2b,5,5
21,2b,5,5
22,2b,5,5
23,2b,5,5
24,2c,5,1
25,2c,5,1
26,2c,2,1
27,2c,2,1
28,2d,5,1
29,2d,5,1
30,2d,2,1
31,2d,2,1
32,3a,5,5
33,3a,5,5
34,3a,4,5
35,3a,4,5
36,3b,5,5
37,3b,5,3
38,3b,4,5
39,3b,4,3
40,3c,4,2
41,3c,4,2
42,3c,2,2
43,3c,2,2
44,3d,5,2
45,3d,5,2
46,3d,2,2
47,3d,2,2
48,rel1,5,5
49,rel1,5,5
50,rel1,5,5
51,rel1,5,5
52,rel2,1,1
53,rel2,1,1
54,rel2,2,1
55,rel2,2,1
56,rel3,5,5
57,rel3,5,2
58,rel3,5,5
59,rel3,5,2
60,rel4,5,5
61,rel4,5,5
62,rel4,5,5
63,rel4,5,5
64,rel5,1,1
65,rel5,1,1
66,rel5,1,1
67,rel5,1,1
68,rel6,5,5
69,rel6,5,2
70,rel6,1,5
71,rel6,1,2
72,rel7,5,5
73,rel7,5,5
74,rel7,5,5
75,rel7,5,5
76,rel9,5,5
77,rel9,5,5
78,rel9,2,5
79,rel9,2,5
80,rel8,1,1
81,rel8,1,1
82,atb1,5,1
83,atb1,5,5
84,atb1,5,1
85,atb1,5,5
86,atb2,5,5
87,atb2,5,5
88,atb2,4,5
89,atb2,4,5
90,atb3,5,5
91,atb3,5,5
92,atb3,5,5
93,atb3,5,5
94,atb4,5,5
95,atb4,5,4
96,atb4,2,5
97,atb4,2,4
98,atb5,5,5
99,atb5,5,2
100,atb5,2,5
101,atb5,2,2
102,atb6,2,2
103,atb6,2,2
104,atb6,1,2
105,atb6,1,2
106,lbe1,4,5
107,lbe1,4,5
108,lbe1,2,5
109,lbe1,2,5
110,lbe2,5,5
111,lbe2,5,5
112,lbe2,2,5
113,lbe2,2,5
114,lbe3,4,2
115,lbe3,4,1
116,lbe3,2,2
117,lbe3,2,1
118,lbe4,4,2
119,lbe4,4,1
120,lbe4,2,2
121,lbe4,2,1
